,Rank,Player 1,Player 2,Stage,Winner
91,master-platinum,Marth,Marth,Final Destination,Player 1
92,master-platinum,Falco,Yoshi,Final Destination,Player 2
93,master-diamond,Jigglypuff,Fox,Fountain of Dreams,Player 2
94,diamond-diamond,Marth,Marth,Fountain of Dreams,Player 2
95,diamond-diamond,Falco,Fox,Final Destination,Player 1
96,master-master,Fox,Sheik,Final Destination,Player 1
97,master-master,Fox,Sheik,Dream Land,Player 1
98,master-platinum,Peach,Fox,Yoshi’s Story,Player 1
99,master-platinum,Peach,Jigglypuff,Fountain of Dreams,Player 2
100,master-diamond,Fox,Yoshi,Final Destination,Player 2
101,platinum-platinum,Ganondorf,Fox,Yoshi’s Story,Player 2
102,diamond-diamond,Sheik,Fox,Yoshi’s Story,Player 2
103,platinum-diamond,Falco,Pichu,Final Destination,Player 1
104,master-diamond,Sheik,Jigglypuff,Yoshi’s Story,Player 2
105,diamond-diamond,Marth,Mr. Game & Watch,Pokémon Stadium,Player 2
106,platinum-platinum,Fox,Falco,Dream Land,Player 2
107,diamond-diamond,Falco,Sheik,Final Destination,Player 2
108,master-master,Falco,Captain Falcon,Pokémon Stadium,Player 1
109,platinum-diamond,Marth,Mr. Game & Watch,Yoshi’s Story,Player 2
110,diamond-diamond,Peach,Fox,Fountain of Dreams,Player 2
111,master-diamond,Mr. Game & Watch,Fox,Pokémon Stadium,Player 2
112,platinum-diamond,Jigglypuff,Sheik,Final Destination,Player 1
113,master-master,Fox,Falco,Yoshi’s Story,Player 1
114,master-platinum,Fox,Fox,Pokémon Stadium,Player 1
115,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
116,master-diamond,Sheik,Mewtwo,Yoshi’s Story,Player 1
117,master-platinum,Yoshi,Sheik,Final Destination,Player 1
118,platinum-diamond,Samus,Falco,Pokémon Stadium,Player 1
119,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
120,master-diamond,Kirby,Mr. Game & Watch,Pokémon Stadium,Player 2
121,master-master,Falco,Yoshi,Fountain of Dreams,Player 1
122,master-diamond,Fox,Fox,Final Destination,Player 1
123,platinum-platinum,Falco,Peach,Final Destination,Player 1
124,master-diamond,Marth,Fox,Yoshi’s Story,Player 2
125,platinum-platinum,Fox,Marth,Pokémon Stadium,Player 1
126,master-master,Marth,Ganondorf,Final Destination,Player 2
127,master-diamond,Jigglypuff,Ness,Final Destination,Player 2
128,master-diamond,Fox,Fox,Dream Land,Player 1
129,master-diamond,Luigi,Luigi,Yoshi’s Story,Player 1
130,master-diamond,Fox,Jigglypuff,Battlefield,Player 2
131,master-diamond,Fox,Yoshi,Fountain of Dreams,Player 2
132,diamond-diamond,Roy,Falco,Yoshi’s Story,Player 2
133,diamond-diamond,Ice Climbers,Samus,Dream Land,Player 2
134,master-master,Jigglypuff,Fox,Battlefield,Player 2
135,diamond-diamond,Falco,Falco,Final Destination,Player 2
136,platinum-platinum,Falco,Captain Falcon,Dream Land,Player 1
137,master-master,Marth,Fox,Final Destination,Player 2
138,diamond-diamond,Sheik,Marth,Final Destination,Player 1
139,master-platinum,Samus,Luigi,Fountain of Dreams,Player 1
140,master-diamond,Fox,Falco,Dream Land,Player 1
141,master-platinum,Yoshi,Falco,Pokémon Stadium,Player 1
142,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
143,master-diamond,Dr. Mario,Yoshi,Pokémon Stadium,Player 1
144,master-master,Fox,Falco,Final Destination,Player 1
145,platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
146,master-master,Peach,Yoshi,Fountain of Dreams,Player 2
147,master-diamond,Falco,Marth,Yoshi’s Story,Player 1
148,master-master,Fox,Fox,Dream Land,Player 2
149,diamond-diamond,Fox,Peach,Fountain of Dreams,Player 2
150,master-diamond,Captain Falcon,Sheik,Final Destination,Player 2
151,master-master,Samus,Fox,Dream Land,Player 1
152,diamond-diamond,Fox,Marth,Yoshi’s Story,Player 1
153,master-master,Sheik,Jigglypuff,Final Destination,Player 2
154,master-diamond,Luigi,Yoshi,Battlefield,Player 2
155,platinum-platinum,Sheik,Peach,Battlefield,Player 1
156,diamond-diamond,Zelda/Sheik,Sheik,Final Destination,Player 2
157,diamond-diamond,Jigglypuff,Fox,Final Destination,Player 1
158,master-master,Luigi,Marth,Final Destination,Player 1
159,diamond-diamond,Fox,Falco,Dream Land,Player 2
160,master-platinum,Marth,Fox,Final Destination,Player 1
161,platinum-platinum,Jigglypuff,Marth,Pokémon Stadium,Player 1
162,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 1
163,diamond-diamond,Fox,Falco,Final Destination,Player 1
164,diamond-diamond,Sheik,Marth,Yoshi’s Story,Player 1
165,master-diamond,Pikachu,Sheik,Final Destination,Player 2
166,master-master,Fox,Fox,Pokémon Stadium,Player 1
167,master-platinum,Mr. Game & Watch,Falco,Fountain of Dreams,Player 2
168,master-diamond,Ice Climbers,Captain Falcon,Final Destination,Player 2
169,diamond-diamond,Fox,Fox,Final Destination,Player 1
170,master-platinum,Fox,Peach,Final Destination,Player 1
171,master-diamond,Jigglypuff,Marth,Yoshi’s Story,Player 1
172,master-platinum,Fox,Fox,Pokémon Stadium,Player 1
173,master-diamond,Dr. Mario,Fox,Yoshi’s Story,Player 2
174,master-diamond,Fox,Falco,Final Destination,Player 1
175,platinum-diamond,Jigglypuff,Falco,Final Destination,Player 1
176,master-master,Falco,Marth,Pokémon Stadium,Player 1
177,master-diamond,Sheik,Marth,Final Destination,Player 1
178,master-platinum,Yoshi,Peach,Fountain of Dreams,Player 1
179,master-master,Fox,Marth,Pokémon Stadium,Player 1
180,master-diamond,Samus,Dr. Mario,Final Destination,Player 2
181,master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
182,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
183,platinum-platinum,Luigi,Fox,Yoshi’s Story,Player 1
184,master-master,Ganondorf,Marth,Yoshi’s Story,Player 2
185,platinum-diamond,Jigglypuff,Fox,Final Destination,Player 1
186,platinum-platinum,Ice Climbers,Mewtwo,Battlefield,Player 2
187,master-diamond,Yoshi,Fox,Final Destination,Player 1
188,master-platinum,Marth,Falco,Final Destination,Player 1
189,diamond-diamond,Sheik,Fox,Final Destination,Player 1
190,master-diamond,Fox,Jigglypuff,Final Destination,Player 1
191,master-diamond,Fox,Falco,Yoshi’s Story,Player 2
192,platinum-diamond,Sheik,Sheik,Final Destination,Player 2
193,master-master,Fox,Pikachu,Final Destination,Player 1
194,platinum-diamond,Sheik,Marth,Fountain of Dreams,Player 1
195,master-diamond,Falco,Samus,Fountain of Dreams,Player 1
196,platinum-platinum,Fox,Marth,Fountain of Dreams,Player 1
197,master-platinum,Fox,Falco,Final Destination,Player 1
198,master-diamond,Captain Falcon,Samus,Pokémon Stadium,Player 1
199,master-platinum,Luigi,Ice Climbers,Final Destination,Player 2
200,master-platinum,Fox,Falco,Dream Land,Player 2
201,master-master,Marth,Falco,Final Destination,Player 1
202,master-diamond,Jigglypuff,Fox,Yoshi’s Story,Player 2
203,master-diamond,Falco,Falco,Battlefield,Player 1
204,master-diamond,Fox,Marth,Yoshi’s Story,Player 1
205,master-master,Ice Climbers,Luigi,Final Destination,Player 2
206,platinum-platinum,Peach,Fox,Yoshi’s Story,Player 2
207,platinum-platinum,Marth,Captain Falcon,Pokémon Stadium,Player 2
208,master-master,Captain Falcon,Fox,Battlefield,Player 1
209,platinum-platinum,Falco,Fox,Fountain of Dreams,Player 1
210,master-platinum,Captain Falcon,Falco,Final Destination,Player 1
211,master-diamond,Sheik,Fox,Dream Land,Player 1
212,platinum-platinum,Fox,Falco,Dream Land,Player 1
213,master-diamond,Falco,Fox,Battlefield,Player 2
214,master-platinum,Marth,Fox,Pokémon Stadium,Player 2
215,master-platinum,Falco,Falco,Yoshi’s Story,Player 2
216,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
217,platinum-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 1
218,platinum-diamond,Marth,Samus,Fountain of Dreams,Player 1
219,master-platinum,Pikachu,Marth,Final Destination,Player 2
220,diamond-diamond,Falco,Falco,Dream Land,Player 2
221,platinum-platinum,Jigglypuff,Captain Falcon,Final Destination,Player 1
222,master-diamond,Captain Falcon,Ganondorf,Final Destination,Player 1
223,diamond-diamond,Sheik,Ganondorf,Dream Land,Player 1
224,master-platinum,Jigglypuff,Ganondorf,Final Destination,Player 2
225,platinum-diamond,Peach,Fox,Dream Land,Player 2
226,platinum-diamond,Falco,Jigglypuff,Final Destination,Player 2
227,diamond-diamond,Falco,Falco,Final Destination,Player 2
228,diamond-diamond,Sheik,Mr. Game & Watch,Pokémon Stadium,Player 1
229,platinum-platinum,Marth,Peach,Final Destination,Player 1
230,platinum-diamond,Fox,Mewtwo,Pokémon Stadium,Player 2
231,master-diamond,Falco,Fox,Dream Land,Player 1
232,master-diamond,Ganondorf,Marth,Yoshi’s Story,Player 2
233,master-platinum,Marth,Falco,Pokémon Stadium,Player 1
234,master-diamond,Yoshi,Fox,Battlefield,Player 2
235,master-platinum,Fox,Fox,Dream Land,Player 1
236,diamond-diamond,Yoshi,Link,Final Destination,Player 1
237,diamond-diamond,Marth,Captain Falcon,Final Destination,Player 2
238,platinum-diamond,Fox,Marth,Final Destination,Player 2
239,diamond-diamond,Marth,Ice Climbers,Final Destination,Player 1
240,master-master,Mr. Game & Watch,Fox,Fountain of Dreams,Player 1
241,master-master,Pikachu,Falco,Final Destination,Player 1
242,master-platinum,Ice Climbers,Luigi,Final Destination,Player 2
243,master-diamond,Yoshi,Peach,Yoshi’s Story,Player 1
244,platinum-platinum,Marth,Marth,Pokémon Stadium,Player 2
245,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
246,master-platinum,Falco,Falco,Final Destination,Player 1
247,platinum-diamond,Sheik,Samus,Yoshi’s Story,Player 2
248,platinum-platinum,Samus,Ganondorf,Battlefield,Player 2
249,diamond-diamond,Fox,Ness,Battlefield,Player 1
250,master-diamond,Fox,Samus,Fountain of Dreams,Player 1
251,master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
252,platinum-diamond,Peach,Falco,Yoshi’s Story,Player 1
253,platinum-diamond,Peach,Sheik,Final Destination,Player 1
254,platinum-diamond,Falco,Fox,Battlefield,Player 2
255,diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 2
256,master-diamond,Fox,Mewtwo,Final Destination,Player 1
257,diamond-diamond,Bowser,Captain Falcon,Dream Land,Player 2
258,diamond-diamond,Ness,Peach,Fountain of Dreams,Player 2
259,master-platinum,Sheik,Jigglypuff,Yoshi’s Story,Player 2
260,master-master,Falco,Jigglypuff,Pokémon Stadium,Player 1
261,platinum-platinum,Captain Falcon,Marth,Final Destination,Player 1
262,master-platinum,Marth,Falco,Yoshi’s Story,Player 1
263,master-master,Falco,Peach,Final Destination,Player 2
264,diamond-diamond,Falco,Fox,Final Destination,Player 1
265,master-diamond,Marth,Link,Pokémon Stadium,Player 2
266,master-diamond,Falco,Marth,Yoshi’s Story,Player 2
267,master-diamond,Fox,Mr. Game & Watch,Final Destination,Player 2
268,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
269,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
270,master-platinum,Falco,Sheik,Final Destination,Player 1
271,master-diamond,Fox,Sheik,Final Destination,Player 1
272,master-diamond,Sheik,Dr. Mario,Yoshi’s Story,Player 1
273,master-platinum,Samus,Fox,Fountain of Dreams,Player 1
274,platinum-platinum,Falco,Link,Final Destination,Player 2
275,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
276,master-diamond,Falco,Peach,Final Destination,Player 2
277,diamond-diamond,Ness,Falco,Yoshi’s Story,Player 2
278,master-platinum,Sheik,Marth,Yoshi’s Story,Player 1
279,platinum-diamond,Fox,Fox,Final Destination,Player 1
280,platinum-diamond,Sheik,Sheik,Final Destination,Player 1
281,platinum-platinum,Sheik,Marth,Pokémon Stadium,Player 2
282,diamond-diamond,Ness,Falco,Dream Land,Player 2
283,master-diamond,Sheik,Fox,Yoshi’s Story,Player 1
284,master-diamond,Marth,Fox,Final Destination,Player 1
285,platinum-platinum,Falco,Peach,Final Destination,Player 1
286,platinum-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
287,master-diamond,Jigglypuff,Falco,Final Destination,Player 1
288,master-diamond,Falco,Marth,Final Destination,Player 2
289,master-master,Pikachu,Captain Falcon,Final Destination,Player 1
290,master-platinum,Fox,Captain Falcon,Final Destination,Player 1
291,platinum-diamond,Sheik,Captain Falcon,Final Destination,Player 2
292,platinum-diamond,Falco,Captain Falcon,Final Destination,Player 1
293,platinum-diamond,Ness,Fox,Final Destination,Player 2
294,master-platinum,Peach,Marth,Final Destination,Player 2
295,master-master,Sheik,Ganondorf,Final Destination,Player 2
296,platinum-platinum,Fox,Mewtwo,Pokémon Stadium,Player 1
297,platinum-diamond,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 2
298,master-diamond,Fox,Sheik,Final Destination,Player 1
299,platinum-platinum,Falco,Fox,Final Destination,Player 2
300,master-platinum,Captain Falcon,Falco,Final Destination,Player 1
301,diamond-diamond,Fox,Yoshi,Dream Land,Player 2
302,master-platinum,Peach,Sheik,Fountain of Dreams,Player 1
303,master-platinum,Marth,Jigglypuff,Final Destination,Player 2
304,diamond-diamond,Samus,Fox,Yoshi’s Story,Player 1
305,master-diamond,Sheik,Fox,Yoshi’s Story,Player 2
306,master-diamond,Marth,Ice Climbers,Pokémon Stadium,Player 1
307,master-master,Falco,Yoshi,Pokémon Stadium,Player 1
308,platinum-diamond,Dr. Mario,Roy,Battlefield,Player 2
309,master-platinum,Sheik,Jigglypuff,Battlefield,Player 2
310,master-platinum,Sheik,Dr. Mario,Dream Land,Player 2
311,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 1
312,platinum-diamond,Fox,Falco,Dream Land,Player 2
313,diamond-diamond,Fox,Samus,Final Destination,Player 1
314,master-master,Ice Climbers,Yoshi,Final Destination,Player 2
315,master-diamond,Falco,Marth,Final Destination,Player 2
316,master-diamond,Yoshi,Fox,Fountain of Dreams,Player 1
317,platinum-platinum,Marth,Captain Falcon,Final Destination,Player 1
318,master-platinum,Marth,Peach,Fountain of Dreams,Player 2
319,master-platinum,Ganondorf,Luigi,Dream Land,Player 2
320,master-platinum,Peach,Falco,Pokémon Stadium,Player 1
321,diamond-diamond,Fox,Fox,Yoshi’s Story,Player 2
322,master-diamond,Peach,Marth,Final Destination,Player 1
323,master-platinum,Ice Climbers,Jigglypuff,Fountain of Dreams,Player 1
324,master-platinum,Marth,Fox,Fountain of Dreams,Player 1
325,platinum-platinum,Ganondorf,Luigi,Battlefield,Player 2
326,master-diamond,Jigglypuff,Fox,Final Destination,Player 1
327,master-platinum,Marth,Ganondorf,Final Destination,Player 2
328,master-diamond,Fox,Marth,Final Destination,Player 2
329,master-master,Jigglypuff,Falco,Final Destination,Player 2
330,master-diamond,Captain Falcon,Luigi,Pokémon Stadium,Player 1
331,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
332,master-platinum,Link,Yoshi,Final Destination,Player 2
333,diamond-diamond,Pikachu,Samus,Final Destination,Player 1
334,platinum-diamond,Ice Climbers,Sheik,Pokémon Stadium,Player 2
335,master-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 1
336,master-diamond,Falco,Samus,Pokémon Stadium,Player 2
337,master-diamond,Samus,Fox,Final Destination,Player 1
338,master-master,Falco,Captain Falcon,Dream Land,Player 1
339,platinum-diamond,Fox,Fox,Final Destination,Player 2
340,diamond-diamond,Fox,Fox,Fountain of Dreams,Player 2
341,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
342,master-master,Fox,Peach,Yoshi’s Story,Player 2
343,platinum-platinum,Luigi,Ganondorf,Fountain of Dreams,Player 2
344,diamond-diamond,Samus,Mewtwo,Dream Land,Player 2
345,platinum-platinum,Fox,Peach,Fountain of Dreams,Player 1
346,master-master,Falco,Pikachu,Final Destination,Player 2
347,master-diamond,Sheik,Falco,Final Destination,Player 1
348,master-platinum,Fox,Jigglypuff,Pokémon Stadium,Player 2
349,master-diamond,Marth,Falco,Dream Land,Player 1
350,master-diamond,Marth,Falco,Final Destination,Player 1
351,master-diamond,Fox,Fox,Dream Land,Player 1
352,diamond-diamond,Falco,Mr. Game & Watch,Dream Land,Player 2
353,platinum-platinum,Fox,Sheik,Final Destination,Player 1
354,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
355,master-platinum,Fox,Peach,Fountain of Dreams,Player 1
356,platinum-diamond,Fox,Falco,Final Destination,Player 2
357,diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 2
358,master-platinum,Fox,Falco,Yoshi’s Story,Player 2
359,master-platinum,Marth,Peach,Final Destination,Player 2
360,master-platinum,Marth,Yoshi,Pokémon Stadium,Player 2
361,master-diamond,Falco,Marth,Fountain of Dreams,Player 2
362,master-diamond,Falco,Marth,Pokémon Stadium,Player 2
363,master-platinum,Falco,Fox,Yoshi’s Story,Player 1
364,master-diamond,Sheik,Falco,Fountain of Dreams,Player 1
365,diamond-diamond,Luigi,Fox,Final Destination,Player 2
366,platinum-platinum,Peach,Sheik,Pokémon Stadium,Player 1
367,master-platinum,Falco,Marth,Fountain of Dreams,Player 2
368,diamond-diamond,Captain Falcon,Mewtwo,Pokémon Stadium,Player 2
369,master-diamond,Sheik,Marth,Pokémon Stadium,Player 1
370,platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
371,platinum-diamond,Peach,Samus,Yoshi’s Story,Player 2
372,master-platinum,Samus,Peach,Fountain of Dreams,Player 1
373,master-platinum,Peach,Fox,Final Destination,Player 2
374,master-master,Falco,Fox,Final Destination,Player 1
375,master-diamond,Link,Falco,Yoshi’s Story,Player 2
376,diamond-diamond,Samus,Fox,Yoshi’s Story,Player 2
377,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
378,master-diamond,Falco,Marth,Pokémon Stadium,Player 2
379,master-diamond,Fox,Falco,Yoshi’s Story,Player 1
380,master-master,Luigi,Marth,Pokémon Stadium,Player 1
381,master-master,Young Link,Luigi,Pokémon Stadium,Player 1
382,master-master,Captain Falcon,Fox,Yoshi’s Story,Player 1
383,master-master,Samus,Fox,Final Destination,Player 2
384,master-master,Fox,Captain Falcon,Battlefield,Player 1
385,master-platinum,Ice Climbers,Fox,Battlefield,Player 1
386,diamond-diamond,Young Link,Sheik,Fountain of Dreams,Player 2
387,platinum-platinum,Falco,Fox,Pokémon Stadium,Player 2
388,diamond-diamond,Dr. Mario,Marth,Yoshi’s Story,Player 2
389,diamond-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
390,master-master,Fox,Fox,Final Destination,Player 1
391,master-platinum,Fox,Captain Falcon,Final Destination,Player 1
392,master-diamond,Fox,Falco,Final Destination,Player 2
393,master-platinum,Sheik,Sheik,Fountain of Dreams,Player 1
394,master-diamond,Yoshi,Jigglypuff,Fountain of Dreams,Player 2
395,diamond-diamond,Fox,Falco,Fountain of Dreams,Player 1
396,platinum-diamond,Samus,Sheik,Final Destination,Player 1
397,platinum-diamond,Falco,Dr. Mario,Final Destination,Player 1
398,master-master,Captain Falcon,Fox,Final Destination,Player 2
399,platinum-diamond,Marth,Luigi,Battlefield,Player 2
400,platinum-platinum,Luigi,Captain Falcon,Yoshi’s Story,Player 1
401,platinum-platinum,Falco,Jigglypuff,Final Destination,Player 1
402,diamond-diamond,Dr. Mario,Fox,Final Destination,Player 2
403,platinum-diamond,Sheik,Marth,Final Destination,Player 1
404,master-diamond,Falco,Luigi,Final Destination,Player 1
405,master-master,Ice Climbers,Falco,Pokémon Stadium,Player 2
406,platinum-platinum,Fox,Falco,Dream Land,Player 2
407,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
408,platinum-diamond,Falco,Falco,Final Destination,Player 2
409,platinum-platinum,Captain Falcon,Samus,Pokémon Stadium,Player 2
410,master-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 2
411,master-diamond,Falco,Marth,Pokémon Stadium,Player 1
412,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
413,master-master,Luigi,Peach,Pokémon Stadium,Player 2
414,master-master,Fox,Falco,Final Destination,Player 1
415,diamond-diamond,Ice Climbers,Marth,Pokémon Stadium,Player 1
416,master-master,Yoshi,Fox,Final Destination,Player 2
417,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
418,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
419,master-platinum,Falco,Fox,Yoshi’s Story,Player 2
420,master-master,Sheik,Ice Climbers,Dream Land,Player 1
421,master-diamond,Peach,Marth,Fountain of Dreams,Player 2
422,platinum-platinum,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 2
423,master-master,Falco,Marth,Final Destination,Player 1
424,master-diamond,Fox,Marth,Yoshi’s Story,Player 1
425,master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
426,master-platinum,Captain Falcon,Jigglypuff,Pokémon Stadium,Player 1
427,master-platinum,Peach,Fox,Dream Land,Player 2
428,master-diamond,Falco,Marth,Fountain of Dreams,Player 1
429,master-platinum,Fox,Jigglypuff,Fountain of Dreams,Player 2
430,platinum-platinum,Captain Falcon,Marth,Battlefield,Player 1
431,master-master,Falco,Falco,Battlefield,Player 1
432,master-diamond,Sheik,Sheik,Final Destination,Player 1
433,master-master,Marth,Falco,Pokémon Stadium,Player 2
434,platinum-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 2
435,diamond-diamond,Peach,Fox,Final Destination,Player 1
436,master-platinum,Fox,Fox,Dream Land,Player 1
437,master-platinum,Falco,Jigglypuff,Pokémon Stadium,Player 2
438,platinum-diamond,Fox,Fox,Fountain of Dreams,Player 1
439,master-platinum,Fox,Dr. Mario,Final Destination,Player 1
440,platinum-diamond,Falco,Mewtwo,Yoshi’s Story,Player 2
441,master-diamond,Ganondorf,Falco,Dream Land,Player 2
