Rank,Player 1,Player 2,Stage,Winner
master-master,Pikachu,Peach,Yoshi’s Story,Player 1
master-master,Captain Falcon,Fox,Yoshi’s Story,Player 1
master-master,Falco,Marth,Pokémon Stadium,Player 2
master-master,Peach,Sheik,Final Destination,Player 2
master-master,Luigi,Fox,Final Destination,Player 2
master-master,Marth,Luigi,Fountain of Dreams,Player 2
master-master,Fox,Fox,Yoshi’s Story,Player 2
master-master,Sheik,Captain Falcon,Battlefield,Player 2
master-master,Marth,Ganondorf,Final Destination,Player 1
platinum-diamond,Peach,Fox,Final Destination,Player 2
master-master,Ganondorf,Fox,Battlefield,Player 2
master-master,Marth,Link,Pokémon Stadium,Player 1
master-master,Captain Falcon,Fox,Final Destination,Player 1
master-master,Marth,Fox,Pokémon Stadium,Player 1
master-master,Fox,Jigglypuff,Yoshi’s Story,Player 2
master-master,Marth,Dr. Mario,Yoshi’s Story,Player 1
master-master,Falco,Marth,Final Destination,Player 1
master-master,Fox,Peach,Pokémon Stadium,Player 1
master-master,Samus,Falco,Fountain of Dreams,Player 2
master-master,Sheik,Yoshi,Fountain of Dreams,Player 1
master-master,Fox,Captain Falcon,Final Destination,Player 1
master-master,Falco,Fox,Dream Land,Player 2
master-master,Fox,Jigglypuff,Final Destination,Player 1
master-master,Fox,Fox,Final Destination,Player 1
master-master,Falco,Captain Falcon,Pokémon Stadium,Player 1
master-master,Fox,Peach,Fountain of Dreams,Player 2
master-master,Jigglypuff,Fox,Fountain of Dreams,Player 2
master-master,Fox,Pikachu,Fountain of Dreams,Player 2
master-master,Yoshi,Jigglypuff,Final Destination,Player 2
master-master,Sheik,Luigi,Final Destination,Player 1
master-master,Peach,Fox,Fountain of Dreams,Player 2
master-master,Samus,Fox,Yoshi’s Story,Player 1
master-master,Fox,Falco,Yoshi’s Story,Player 1
master-master,Fox,Ganondorf,Yoshi’s Story,Player 1
master-master,Samus,Sheik,Dream Land,Player 2
master-master,Fox,Falco,Final Destination,Player 2
master-master,Luigi,Yoshi,Pokémon Stadium,Player 1
master-master,Ganondorf,Jigglypuff,Final Destination,Player 1
master-master,Fox,Fox,Pokémon Stadium,Player 1
master-master,Sheik,Samus,Battlefield,Player 1
master-master,Falco,Marth,Final Destination,Player 1
master-master,Yoshi,Fox,Fountain of Dreams,Player 1
master-master,Falco,Ganondorf,Yoshi’s Story,Player 1
master-master,Fox,Falco,Yoshi’s Story,Player 1
master-master,Jigglypuff,Captain Falcon,Yoshi’s Story,Player 2
master-master,Sheik,Sheik,Final Destination,Player 1
master-master,Falco,Ice Climbers,Yoshi’s Story,Player 2
master-master,Sheik,Ice Climbers,Final Destination,Player 2
master-master,Falco,Falco,Yoshi’s Story,Player 1
master-master,Marth,Falco,Pokémon Stadium,Player 2
master-master,Fox,Marth,Final Destination,Player 1
master-master,Fox,Samus,Fountain of Dreams,Player 1
master-master,Mr. Game & Watch,Fox,Fountain of Dreams,Player 1
master-master,Fox,Marth,Pokémon Stadium,Player 1
master-master,Fox,Fox,Final Destination,Player 2
master-master,Marth,Fox,Battlefield,Player 2
master-master,Ganondorf,Jigglypuff,Final Destination,Player 2
master-master,Fox,Fox,Yoshi’s Story,Player 2
master-master,Mr. Game & Watch,Sheik,Final Destination,Player 1
master-master,Falco,Fox,Pokémon Stadium,Player 1
master-master,Donkey Kong,Young Link,Final Destination,Player 1
master-master,Yoshi,Fox,Yoshi’s Story,Player 2
master-master,Marth,Marth,Pokémon Stadium,Player 2
master-master,Falco,Sheik,Dream Land,Player 1
master-master,Sheik,Ganondorf,Final Destination,Player 2
master-master,Ganondorf,Dr. Mario,Dream Land,Player 1
master-master,Yoshi,Fox,Yoshi’s Story,Player 2
master-master,Falco,Pikachu,Final Destination,Player 2
master-master,Fox,Falco,Final Destination,Player 2
master-master,Pikachu,Falco,Final Destination,Player 1
master-master,Falco,Fox,Yoshi’s Story,Player 1
master-master,Sheik,Fox,Battlefield,Player 2
master-master,Samus,Link,Battlefield,Player 2
master-master,Samus,Captain Falcon,Pokémon Stadium,Player 1
master-master,Fox,Yoshi,Final Destination,Player 1
master-master,Fox,Marth,Final Destination,Player 1
master-master,Peach,Sheik,Fountain of Dreams,Player 1
master-diamond,Falco,Fox,Yoshi’s Story,Player 1
master-diamond,Jigglypuff,Falco,Final Destination,Player 1
master-diamond,Fox,Samus,Pokémon Stadium,Player 1
master-diamond,Falco,Samus,Fountain of Dreams,Player 1
master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Marth,Jigglypuff,Final Destination,Player 2
master-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 2
master-diamond,Ness,Fox,Dream Land,Player 2
master-diamond,Marth,Sheik,Final Destination,Player 1
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Fox,Marth,Pokémon Stadium,Player 2
master-diamond,Samus,Falco,Pokémon Stadium,Player 1
master-diamond,Fox,Falco,Dream Land,Player 2
master-diamond,Falco,Marth,Final Destination,Player 2
master-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
master-diamond,Sheik,Falco,Fountain of Dreams,Player 1
master-diamond,Jigglypuff,Fox,Final Destination,Player 1
master-diamond,Zelda/Sheik,Jigglypuff,Final Destination,Player 2
master-diamond,Fox,Sheik,Pokémon Stadium,Player 2
master-diamond,Fox,Fox,Fountain of Dreams,Player 1
master-diamond,Sheik,Fox,Yoshi’s Story,Player 2
master-diamond,Fox,Sheik,Pokémon Stadium,Player 2
master-diamond,Link,Jigglypuff,Final Destination,Player 1
master-diamond,Sheik,Marth,Final Destination,Player 2
master-diamond,Ganondorf,Samus,Yoshi’s Story,Player 1
master-diamond,Fox,Bowser,Final Destination,Player 1
master-diamond,Falco,Falco,Final Destination,Player 1
master-diamond,Captain Falcon,Luigi,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 1
master-diamond,Donkey Kong,Fox,Final Destination,Player 1
master-diamond,Falco,Fox,Fountain of Dreams,Player 1
master-diamond,Dr. Mario,Pikachu,Battlefield,Player 1
master-diamond,Sheik,Falco,Final Destination,Player 1
master-diamond,Captain Falcon,Marth,Final Destination,Player 1
master-diamond,Falco,Sheik,Dream Land,Player 2
master-diamond,Fox,Luigi,Final Destination,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Falco,Marth,Dream Land,Player 1
master-diamond,Peach,Ganondorf,Final Destination,Player 2
master-diamond,Marth,Falco,Final Destination,Player 2
master-diamond,Captain Falcon,Falco,Final Destination,Player 1
master-diamond,Sheik,Captain Falcon,Final Destination,Player 2
master-diamond,Jigglypuff,Falco,Final Destination,Player 1
master-diamond,Captain Falcon,Mewtwo,Final Destination,Player 1
master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
master-diamond,Link,Fox,Pokémon Stadium,Player 1
master-diamond,Fox,Ness,Final Destination,Player 1
master-diamond,Samus,Captain Falcon,Battlefield,Player 1
master-diamond,Jigglypuff,Ganondorf,Final Destination,Player 1
master-diamond,Peach,Captain Falcon,Dream Land,Player 1
master-diamond,Falco,Ness,Dream Land,Player 1
master-diamond,Captain Falcon,Sheik,Dream Land,Player 2
master-diamond,Marth,Peach,Fountain of Dreams,Player 1
master-diamond,Fox,Marth,Yoshi’s Story,Player 1
master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
master-diamond,Fox,Marth,Yoshi’s Story,Player 1
master-diamond,Captain Falcon,Falco,Final Destination,Player 2
master-diamond,Jigglypuff,Fox,Dream Land,Player 1
master-diamond,Falco,Fox,Final Destination,Player 1
master-diamond,Marth,Captain Falcon,Final Destination,Player 1
master-diamond,Fox,Ice Climbers,Pokémon Stadium,Player 1
master-diamond,Falco,Fox,Dream Land,Player 2
master-diamond,Fox,Marth,Pokémon Stadium,Player 1
master-diamond,Ganondorf,Marth,Yoshi’s Story,Player 2
master-diamond,Falco,Luigi,Battlefield,Player 2
master-diamond,Fox,Peach,Fountain of Dreams,Player 2
master-diamond,Fox,Peach,Fountain of Dreams,Player 2
master-diamond,Peach,Mr. Game & Watch,Final Destination,Player 1
master-diamond,Falco,Marth,Yoshi’s Story,Player 1
master-diamond,Sheik,Mewtwo,Pokémon Stadium,Player 1
master-diamond,Falco,Peach,Final Destination,Player 1
master-diamond,Falco,Falco,Pokémon Stadium,Player 1
master-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
master-diamond,Fox,Falco,Final Destination,Player 2
master-diamond,Fox,Fox,Yoshi’s Story,Player 1
master-diamond,Fox,Marth,Final Destination,Player 2
master-diamond,Falco,Samus,Yoshi’s Story,Player 1
master-diamond,Fox,Luigi,Fountain of Dreams,Player 1
master-diamond,Fox,Luigi,Final Destination,Player 2
master-diamond,Ice Climbers,Falco,Dream Land,Player 2
master-diamond,Falco,Ganondorf,Final Destination,Player 1
master-diamond,Sheik,Mewtwo,Yoshi’s Story,Player 1
master-diamond,Sheik,Fox,Pokémon Stadium,Player 1
master-diamond,Sheik,Captain Falcon,Final Destination,Player 1
master-diamond,Ganondorf,Ice Climbers,Final Destination,Player 1
master-diamond,Marth,Marth,Battlefield,Player 2
master-diamond,Luigi,Falco,Final Destination,Player 1
master-diamond,Samus,Sheik,Battlefield,Player 1
master-diamond,Fox,Samus,Yoshi’s Story,Player 2
master-diamond,Falco,Peach,Dream Land,Player 1
master-diamond,Peach,Falco,Fountain of Dreams,Player 1
master-diamond,Marth,Peach,Fountain of Dreams,Player 1
master-diamond,Fox,Fox,Dream Land,Player 1
master-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 2
master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
master-diamond,Sheik,Marth,Final Destination,Player 1
master-diamond,Ganondorf,Jigglypuff,Battlefield,Player 1
master-diamond,Marth,Jigglypuff,Final Destination,Player 2
master-diamond,Pikachu,Fox,Final Destination,Player 1
master-diamond,Fox,Ganondorf,Final Destination,Player 2
master-diamond,Fox,Yoshi,Dream Land,Player 2
master-diamond,Fox,Link,Yoshi’s Story,Player 1
master-diamond,Sheik,Marth,Final Destination,Player 1
master-diamond,Fox,Falco,Final Destination,Player 1
master-diamond,Fox,Pikachu,Fountain of Dreams,Player 2
master-diamond,Dr. Mario,Fox,Fountain of Dreams,Player 2
master-diamond,Pikachu,Falco,Final Destination,Player 1
master-master,Captain Falcon,Fox,Battlefield,Player 1
diamond-diamond,Fox,Falco,Final Destination,Player 2
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
diamond-diamond,Falco,Falco,Fountain of Dreams,Player 1
diamond-diamond,Pikachu,Peach,Dream Land,Player 2
diamond-diamond,Jigglypuff,Fox,Fountain of Dreams,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Jigglypuff,Marth,Pokémon Stadium,Player 1
diamond-diamond,Ice Climbers,Luigi,Battlefield,Player 1
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Bowser,Final Destination,Player 2
diamond-diamond,Pikachu,Ice Climbers,Final Destination,Player 2
diamond-diamond,Pikachu,Samus,Final Destination,Player 1
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
diamond-diamond,Ness,Mario,Dream Land,Player 2
diamond-diamond,Peach,Link,Final Destination,Player 2
diamond-diamond,Fox,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 2
diamond-diamond,Falco,Samus,Final Destination,Player 1
diamond-diamond,Sheik,Fox,Pokémon Stadium,Parità
diamond-diamond,Ganondorf,Falco,Final Destination,Player 1
diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
diamond-diamond,Dr. Mario,Falco,Pokémon Stadium,Player 1
diamond-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 2
diamond-diamond,Falco,Sheik,Final Destination,Player 1
diamond-diamond,Captain Falcon,Falco,Fountain of Dreams,Player 2
master-master,Sheik,Falco,Yoshi’s Story,Player 2
master-master,Fox,Peach,Yoshi’s Story,Player 2
master-master,Jigglypuff,Fox,Final Destination,Player 2
master-master,Sheik,Falco,Dream Land,Player 1
master-master,Sheik,Fox,Dream Land,Player 1
master-master,Marth,Fox,Yoshi’s Story,Player 2
master-master,Falco,Marth,Battlefield,Player 1
master-master,Jigglypuff,Fox,Yoshi’s Story,Player 1
master-master,Falco,Fox,Yoshi’s Story,Player 2
master-master,Fox,Yoshi,Fountain of Dreams,Player 2
master-master,Falco,Yoshi,Fountain of Dreams,Player 1
master-master,Ice Climbers,Ganondorf,Battlefield,Player 1
master-master,Fox,Sheik,Final Destination,Player 1
master-master,Fox,Link,Yoshi’s Story,Player 2
master-master,Ice Climbers,Falco,Fountain of Dreams,Player 1
master-master,Sheik,Sheik,Final Destination,Player 1
master-master,Samus,Fox,Dream Land,Player 1
master-master,Fox,Fox,Pokémon Stadium,Player 2
master-master,Jigglypuff,Falco,Final Destination,Player 2
master-master,Pikachu,Captain Falcon,Final Destination,Player 1
master-master,Fox,Sheik,Yoshi’s Story,Player 1
master-master,Captain Falcon,Fox,Yoshi’s Story,Player 2
master-master,Fox,Fox,Battlefield,Player 2
master-master,Falco,Marth,Pokémon Stadium,Player 2
master-master,Falco,Fox,Yoshi’s Story,Player 2
master-master,Falco,Yoshi,Battlefield,Player 1
master-master,Captain Falcon,Kirby,Dream Land,Player 1
master-master,Samus,Captain Falcon,Yoshi’s Story,Player 1
master-master,Samus,Falco,Pokémon Stadium,Player 1
master-master,Ice Climbers,Pikachu,Fountain of Dreams,Player 1
master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
master-master,Jigglypuff,Samus,Fountain of Dreams,Player 1
master-master,Fox,Sheik,Pokémon Stadium,Player 1
master-master,Marth,Yoshi,Final Destination,Player 2
master-master,Jigglypuff,Yoshi,Final Destination,Player 2
master-master,Bowser,Captain Falcon,Yoshi’s Story,Player 1
master-master,Yoshi,Jigglypuff,Pokémon Stadium,Player 1
master-master,Marth,Fox,Pokémon Stadium,Player 2
master-master,Ice Climbers,Captain Falcon,Pokémon Stadium,Player 1
master-master,Jigglypuff,Falco,Pokémon Stadium,Player 2
master-master,Jigglypuff,Pikachu,Yoshi’s Story,Player 2
master-master,Jigglypuff,Yoshi,Battlefield,Player 1
master-master,Falco,Sheik,Pokémon Stadium,Player 2
master-master,Captain Falcon,Falco,Yoshi’s Story,Player 2
master-master,Fox,Marth,Pokémon Stadium,Player 1
master-master,Falco,Yoshi,Dream Land,Player 1
master-master,Ganondorf,Falco,Pokémon Stadium,Player 2
master-master,Pikachu,Falco,Fountain of Dreams,Player 1
master-master,Ganondorf,Marth,Pokémon Stadium,Player 2
master-master,Yoshi,Peach,Fountain of Dreams,Player 2
master-master,Peach,Fox,Yoshi’s Story,Player 2
master-master,Falco,Peach,Final Destination,Player 1
master-master,Fox,Yoshi,Yoshi’s Story,Player 2
master-master,Ganondorf,Falco,Yoshi’s Story,Player 2
master-master,Luigi,Falco,Dream Land,Player 2
master-master,Fox,Ganondorf,Pokémon Stadium,Player 1
master-master,Falco,Marth,Pokémon Stadium,Player 2
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Fox,Fox,Dream Land,Player 2
master-master,Samus,Bowser,Pokémon Stadium,Player 1
master-master,Yoshi,Sheik,Final Destination,Player 2
master-master,Dr. Mario,Donkey Kong,Pokémon Stadium,Player 1
master-master,Falco,Peach,Yoshi’s Story,Player 1
master-master,Fox,Luigi,Fountain of Dreams,Player 2
master-master,Sheik,Falco,Final Destination,Player 2
master-platinum,Ice Climbers,Marth,Final Destination,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Link,Final Destination,Player 1
master-platinum,Samus,Falco,Dream Land,Player 2
master-platinum,Falco,Fox,Final Destination,Player 2
master-platinum,Fox,Peach,Pokémon Stadium,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 1
master-platinum,Fox,Yoshi,Final Destination,Player 2
master-platinum,Ganondorf,Marth,Yoshi’s Story,Player 1
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Falco,Falco,Dream Land,Player 1
master-platinum,Ice Climbers,Jigglypuff,Fountain of Dreams,Player 1
master-platinum,Young Link,Samus,Yoshi’s Story,Player 2
master-platinum,Falco,Sheik,Fountain of Dreams,Player 1
master-platinum,Falco,Bowser,Yoshi’s Story,Player 1
master-platinum,Marth,Peach,Final Destination,Player 1
master-platinum,Falco,Fox,Pokémon Stadium,Player 1
master-platinum,Fox,Samus,Battlefield,Player 2
master-platinum,Yoshi,Sheik,Final Destination,Player 1
master-platinum,Falco,Fox,Final Destination,Player 2
master-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 2
master-platinum,Falco,Falco,Pokémon Stadium,Player 2
master-platinum,Captain Falcon,Fox,Final Destination,Player 2
master-platinum,Link,Yoshi,Final Destination,Player 2
master-platinum,Falco,Falco,Final Destination,Player 1
master-platinum,Fox,Marth,Fountain of Dreams,Player 1
master-platinum,Peach,Fox,Final Destination,Player 2
master-platinum,Marth,Peach,Fountain of Dreams,Player 2
master-platinum,Jigglypuff,Captain Falcon,Yoshi’s Story,Player 1
master-platinum,Fox,Jigglypuff,Final Destination,Player 2
master-platinum,Marth,Fox,Dream Land,Player 1
master-platinum,Marth,Fox,Final Destination,Player 1
master-platinum,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Falco,Fountain of Dreams,Player 1
master-platinum,Captain Falcon,Marth,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 2
master-platinum,Jigglypuff,Marth,Fountain of Dreams,Player 1
master-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 2
master-platinum,Fox,Captain Falcon,Final Destination,Player 1
master-platinum,Fox,Fox,Final Destination,Player 1
master-platinum,Ice Climbers,Marth,Pokémon Stadium,Player 1
master-platinum,Jigglypuff,Fox,Final Destination,Player 2
master-platinum,Peach,Pikachu,Final Destination,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Captain Falcon,Marth,Battlefield,Player 1
master-platinum,Peach,Captain Falcon,Dream Land,Player 1
master-platinum,Falco,Peach,Dream Land,Player 1
master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
master-platinum,Captain Falcon,Dr. Mario,Final Destination,Player 1
master-platinum,Falco,Fox,Final Destination,Player 2
master-platinum,Fox,Peach,Fountain of Dreams,Player 1
master-platinum,Fox,Falco,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Yoshi’s Story,Player 1
master-platinum,Fox,Link,Yoshi’s Story,Player 1
master-platinum,Fox,Fox,Yoshi’s Story,Player 1
master-platinum,Falco,Falco,Dream Land,Player 1
master-platinum,Ice Climbers,Fox,Pokémon Stadium,Player 1
master-platinum,Fox,Falco,Final Destination,Player 2
master-platinum,Sheik,Marth,Yoshi’s Story,Player 1
master-platinum,Jigglypuff,Falco,Final Destination,Player 2
master-platinum,Ice Climbers,Falco,Final Destination,Player 2
master-platinum,Falco,Luigi,Dream Land,Player 1
platinum-platinum,Sheik,Sheik,Yoshi’s Story,Player 2
platinum-platinum,Fox,Fox,Final Destination,Player 2
platinum-platinum,Fox,Peach,Final Destination,Player 2
platinum-platinum,Luigi,Peach,Pokémon Stadium,Player 2
platinum-platinum,Young Link,Sheik,Fountain of Dreams,Player 1
platinum-platinum,Falco,Peach,Pokémon Stadium,Player 1
platinum-platinum,Marth,Captain Falcon,Final Destination,Player 1
platinum-platinum,Falco,Captain Falcon,Pokémon Stadium,Player 2
platinum-platinum,Dr. Mario,Ganondorf,Fountain of Dreams,Player 2
platinum-platinum,Fox,Fox,Pokémon Stadium,Player 1
platinum-platinum,Ganondorf,Ganondorf,Yoshi’s Story,Player 2
platinum-platinum,Mewtwo,Falco,Pokémon Stadium,Player 1
platinum-platinum,Falco,Fox,Pokémon Stadium,Player 1
platinum-platinum,Falco,Peach,Final Destination,Player 1
platinum-platinum,Ness,Fox,Yoshi’s Story,Player 1
platinum-platinum,Falco,Fox,Final Destination,Player 2
platinum-platinum,Marth,Falco,Pokémon Stadium,Player 2
platinum-platinum,Captain Falcon,Sheik,Final Destination,Player 1
platinum-platinum,Marth,Captain Falcon,Final Destination,Player 2
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
platinum-platinum,Luigi,Fox,Yoshi’s Story,Player 1
platinum-platinum,Luigi,Marth,Pokémon Stadium,Player 1
platinum-platinum,Marth,Fox,Yoshi’s Story,Player 1
platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
platinum-platinum,Fox,Marth,Pokémon Stadium,Player 1
platinum-platinum,Luigi,Fox,Battlefield,Player 1
platinum-platinum,Fox,Falco,Dream Land,Player 1
platinum-platinum,Sheik,Falco,Final Destination,Player 2
platinum-platinum,Peach,Captain Falcon,Pokémon Stadium,Player 1
platinum-platinum,Marth,Falco,Pokémon Stadium,Player 2
platinum-platinum,Marth,Marth,Yoshi’s Story,Player 2
platinum-platinum,Captain Falcon,Ness,Yoshi’s Story,Player 1
platinum-platinum,Falco,Peach,Pokémon Stadium,Player 2
platinum-platinum,Falco,Peach,Dream Land,Player 1
platinum-platinum,Fox,Ice Climbers,Fountain of Dreams,Player 2
platinum-platinum,Peach,Fox,Dream Land,Player 2
platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
platinum-platinum,Falco,Luigi,Dream Land,Player 1
platinum-platinum,Ness,Sheik,Dream Land,Player 2
platinum-platinum,Falco,Dr. Mario,Pokémon Stadium,Player 2
platinum-platinum,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 2
platinum-platinum,Peach,Captain Falcon,Final Destination,Player 2
platinum-platinum,Ganondorf,Falco,Final Destination,Player 2
platinum-platinum,Sheik,Marth,Final Destination,Player 2
platinum-platinum,Luigi,Falco,Pokémon Stadium,Player 2
platinum-platinum,Fox,Sheik,Pokémon Stadium,Player 1
platinum-platinum,Falco,Fox,Final Destination,Player 1
platinum-platinum,Marth,Sheik,Final Destination,Player 2
platinum-platinum,Peach,Marth,Final Destination,Player 1
platinum-platinum,Marth,Fox,Fountain of Dreams,Player 2
platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Falco,Peach,Final Destination,Player 1
platinum-platinum,Peach,Peach,Battlefield,Player 2
platinum-platinum,Jigglypuff,Captain Falcon,Final Destination,Player 1
platinum-platinum,Link,Falco,Final Destination,Player 1
platinum-platinum,Captain Falcon,Fox,Dream Land,Player 1
platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
platinum-platinum,Marth,Captain Falcon,Yoshi’s Story,Player 1
platinum-platinum,Peach,Marth,Final Destination,Player 1
platinum-platinum,Peach,Captain Falcon,Battlefield,Player 2
platinum-platinum,Ness,Sheik,Fountain of Dreams,Player 2
platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
platinum-platinum,Peach,Fox,Final Destination,Player 1
platinum-platinum,Sheik,Jigglypuff,Fountain of Dreams,Player 1
platinum-platinum,Falco,Fox,Fountain of Dreams,Player 1
platinum-platinum,Captain Falcon,Captain Falcon,Final Destination,Player 1
platinum-platinum,Captain Falcon,Marth,Battlefield,Player 1
platinum-platinum,Marth,Falco,Final Destination,Player 1
platinum-platinum,Fox,Fox,Yoshi’s Story,Player 1
platinum-platinum,Young Link,Falco,Yoshi’s Story,Player 1
master-master,Marth,Marth,Final Destination,Player 2
master-master,Falco,Sheik,Dream Land,Player 2
master-master,Falco,Falco,Final Destination,Player 1
master-master,Marth,Samus,Pokémon Stadium,Player 1
master-master,Pikachu,Peach,Pokémon Stadium,Player 1
master-master,Fox,Sheik,Dream Land,Player 1
master-master,Fox,Falco,Final Destination,Player 2
master-master,Pikachu,Captain Falcon,Pokémon Stadium,Player 2
master-master,Sheik,Link,Final Destination,Player 1
master-master,Falco,Marth,Final Destination,Player 1
master-master,Marth,Sheik,Final Destination,Player 2
master-master,Falco,Fox,Final Destination,Player 2
master-master,Pikachu,Fox,Final Destination,Player 2
master-master,Samus,Falco,Battlefield,Player 1
master-master,Yoshi,Fox,Final Destination,Player 2
master-master,Sheik,Jigglypuff,Final Destination,Player 2
master-master,Samus,Falco,Yoshi’s Story,Player 1
master-master,Fox,Sheik,Dream Land,Player 1
master-master,Marth,Fox,Final Destination,Player 2
master-master,Marth,Ice Climbers,Pokémon Stadium,Player 1
master-master,Jigglypuff,Samus,Dream Land,Player 2
master-master,Jigglypuff,Falco,Final Destination,Player 2
master-master,Donkey Kong,Bowser,Fountain of Dreams,Player 1
master-master,Fox,Falco,Final Destination,Player 2
master-master,Peach,Yoshi,Fountain of Dreams,Player 2
master-master,Jigglypuff,Fox,Final Destination,Player 1
master-master,Luigi,Peach,Final Destination,Player 2
master-master,Captain Falcon,Ice Climbers,Final Destination,Player 1
master-master,Falco,Falco,Yoshi’s Story,Player 2
master-master,Fox,Fox,Pokémon Stadium,Player 1
master-master,Young Link,Pikachu,Pokémon Stadium,Player 1
master-master,Fox,Peach,Final Destination,Player 1
master-master,Luigi,Yoshi,Final Destination,Player 2
master-master,Fox,Luigi,Final Destination,Player 1
master-master,Falco,Luigi,Final Destination,Player 2
master-master,Fox,Falco,Dream Land,Player 1
master-master,Marth,Sheik,Final Destination,Player 2
master-master,Falco,Yoshi,Pokémon Stadium,Player 1
master-master,Marth,Fox,Yoshi’s Story,Player 2
master-master,Fox,Marth,Pokémon Stadium,Player 2
master-master,Captain Falcon,Fox,Final Destination,Player 2
master-master,Falco,Fox,Yoshi’s Story,Player 1
master-master,Falco,Jigglypuff,Fountain of Dreams,Player 1
